run_id,platform,scenario,label,load,iteration,frames,duration_ms,fps_mean,fps_median,fps_p1_low,fps_p5_low,frame_ms_mean,frame_ms_median,frame_ms_stddev,frame_ms_p95,frame_ms_p99,frame_ms_max,jank_60_share,jank_30_share,update_ms_median,update_ms_p99,render_ms_median,render_ms_p99,other_ms_median,gpu_ms_median,gpu_ms_p99,gpu_samples,heap_mb_start,heap_mb_peak,heap_mb_end,js_ready_ms,ttfr_submit_ms,init_ms,first_frame_render_ms,heap_mb_at_ttfr,tbt_total_ms,clicks,ok,miss,timeout,superseded,latency_render_ms_median,latency_render_ms_p95,latency_render_ms_mean,latency_frame_ms_median,queue_ms_median,dispatch_ms_median,apply_ms_median,commit_ms_median,frame_wait_ms_median,miss_share,capacity_fps60,capacity_fps30
apple-m4 · chrome|s1|088_r3f-ref_A_i10,apple-m4 · chrome,s1,r3f-ref,A,10,5596.0,30004.26,186.50684936059815,187.52930160008125,129.49860494575628,146.52861115349657,5.3617333809900405,5.332499995827675,0.6565252364649633,6.330000013113022,6.995500004291536,11.264999985694885,0.0,0.0,0.004999995231628418,0.04499998688697815,5.255000025033951,6.880499994754793,0.06000000238418579,7.981854,9.4686661,5586.0,73.8053,88.2852,81.103,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|006_r3f-ref+parent-state_i1,apple-m4 · chrome,s2,r3f-ref+parent-state,-,1,6191.0,30003.61,206.34183686553212,210.3049410589351,73.31730768705523,147.42260909073732,4.84632692618548,4.755000025033951,0.9013301448062556,4.935000002384186,8.507999992370708,20.844999998807907,0.00048457438216766274,0.0,0.6599999964237213,0.7504999995231647,4.009999990463257,4.21000000834465,0.07500001788139343,1.198041,3.4655082399999997,6190.0,82.2124,122.1975,85.6725,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|007_r3f-ref-central_i1,apple-m4 · chrome,s2,r3f-ref-central,-,1,6659.0,30000.665,221.96174651468067,221.48394165395734,200.59266014674418,209.97242529660372,4.505280822945135,4.515000015497208,0.14230245514783957,4.685000002384186,4.75,8.75,0.0,0.0,0.4449999928474426,0.5600000023841858,3.9800000190734863,4.145000010728836,0.07500001788139343,1.2067285,3.46713731,6658.0,77.7729,160.9953,51.0899,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|008_r3f-state_i1,apple-m4 · chrome,s2,r3f-state,-,1,2217.0,30009.13,73.8775166091237,76.30675321012458,49.738870930713176,59.28576818514298,13.53591790707949,13.104999989271164,1.1752126038221329,15.681000006198882,17.838400013446883,23.109999984502792,0.014884979702300407,0.0,0.824999988079071,0.9900000047683716,4.009999990463257,4.353800010681162,8.264999985694885,0.896208,1.8802053999999975,2216.0,168.9539,307.8229,198.0673,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|009_threejs_i1,apple-m4 · chrome,s2,threejs,-,1,6201.0,30000.47,206.6967617507408,206.18556726370346,183.63297107119152,193.30539757032176,4.838005160457798,4.8499999940395355,0.1807995563782736,5.075000017881393,5.169999986886978,7.305000007152557,0.0,0.0,0.4699999988079071,0.5400000214576721,4.2750000059604645,4.580000013113022,0.09999999403953552,1.131666,3.516875,6197.0,64.7946,96.5219,64.0668,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|010_r3f-ref_i1,apple-m4 · chrome,s2,r3f-ref,-,1,6182.0,30003.405,206.04328075429288,206.6115700952685,177.22769399209955,193.62418735080072,4.853349239728436,4.840000003576279,0.1321435899295726,5.004999995231628,5.155000001192093,7.465000003576279,0.0,0.0,0.7100000083446503,0.7750000059604645,4.044999986886978,4.294999992549419,0.07500001788139343,1.182291,3.4659328,6181.0,72.2881,91.0105,44.0824,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|011_threejs_i2,apple-m4 · chrome,s2,threejs,-,2,6235.0,30001.075,207.82588623915902,207.25388524228222,187.9642262517181,194.82370334568722,4.811720128306027,4.825000017881393,0.16996460040509928,5.054999977350235,5.153300002813339,6.840000003576279,0.0,0.0,0.4699999988079071,0.5399999916553497,4.254999995231628,4.560000002384186,0.09999999403953552,1.133375,3.5180161,6231.0,64.3786,151.5588,141.6543,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|012_r3f-ref_i2,apple-m4 · chrome,s2,r3f-ref,-,2,6191.0,30004.47,206.33592261420534,206.82523359627467,177.77518720296496,194.51150232074025,4.846465837505865,4.834999978542328,0.13072274692037855,4.990000009536743,5.1055000156164185,7.715000003576279,0.0,0.0,0.7199999988079071,0.7899999916553497,4.030000001192093,4.240000009536743,0.07500001788139343,1.188124,3.46538408,6189.0,70.5215,85.3808,49.089,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|013_r3f-ref-central_i2,apple-m4 · chrome,s2,r3f-ref-central,-,2,6791.0,30003.83,226.337770877819,225.73363546564644,192.46513369252182,210.82679553208993,4.4181755264339735,4.429999977350235,0.15509802340692178,4.5999999940395355,4.700500017404558,6.859999984502792,0.0,0.0,0.375,0.4699999988079071,3.9600000083446503,4.175500008463861,0.07500001788139343,1.208625,3.4697765,6790.0,81.5228,86.05,39.0815,,,,,,,,,,,,,,,,,,,,,,,
apple-m4 · chrome|s2|014_r3f-state_i2,apple-m4 · chrome,s2,r3f-state,-,2,2187.0,30010.42,72.87468819166662,75.13148007669967,48.8105337865719,58.7870452766225,13.72218564242656,13.310000002384186,1.1951684914174425,15.839999994635582,17.599499993324226,23.12999999523163,0.01600365797896662,0.0,0.9399999976158142,1.104999989271164,3.979999989271164,4.2028000152111025,8.375,0.891875,1.6802999000000012,2186.0,316.0416,316.0416,134.7821,,,,,,,,,,,,,,,,,,,,,,,
