run_id,platform,label,N,frames,duration_ms,fps_mean,fps_median,fps_p1_low,fps_p5_low,frame_ms_mean,frame_ms_median,frame_ms_stddev,frame_ms_p95,frame_ms_p99,frame_ms_max,jank_60_share,jank_30_share,update_ms_median,update_ms_p99,render_ms_median,render_ms_p99,other_ms_median,gpu_ms_median,gpu_ms_p99,gpu_samples,heap_mb_start,heap_mb_peak,heap_mb_end
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,1131,491.0,3002.535,163.52848509675178,166.94490817407095,130.48442342480823,140.97330317830404,6.115142566191749,5.990000000223517,0.32789803673888623,6.7374999998137355,7.388500001467765,7.7349999994039536,0.0,0.0,0.775000000372529,1.0479999998584397,4.9400000013411045,6.003999998606744,0.26500000059604645,2.08734,2.551224400000001,490.0,43.5409,55.9799,55.9799
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,1600,365.0,3002.16,121.57912969328146,125.15644555344498,94.9367088618787,102.29016309667523,8.225095890411367,7.990000000223517,0.517276048118966,9.268999999389052,10.042599999606615,10.599999999627471,0.0,0.0,0.8849999997764826,1.359199999496342,6.860000001266599,8.385800000429153,0.25,3.64734,4.6467972,364.0,69.3989,82.9864,82.9864
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,2263,298.0,3005.9,99.13836122297738,101.21457489993033,60.91989034405913,71.33031028565833,10.086912751672852,9.879999999888241,1.2002626813487227,12.605249999649821,14.866800000239161,16.424999998882413,0.0,0.0,1.0299999993294477,1.9359000005014233,8.575000000186265,12.846050000675021,0.28250000067055225,6.154,9.308561600000003,295.0,44.2333,59.799,59.799
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,3200,188.0,3006.81,62.524735517032134,64.31902234947326,49.7883993053634,53.26074091594384,15.993670212768732,15.547500000335276,0.9240418293545374,17.704750000312924,19.885599999316035,20.084999999031425,0.19148936170212766,0.0,1.775000000372529,2.460349998697638,13.517500000074506,17.084450000822542,0.26999999955296516,10.3536,12.06126399999999,187.0,91.1727,105.4692,105.4692
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,4525,134.0,3003.145,44.61989014850097,44.95897493409138,33.92130257750461,35.61676362361687,22.411529850742934,22.2425000006333,1.8574716248947123,26.043750000279395,28.832699999101457,29.480000000447035,1.0,0.0,1.875,3.071100000925358,19.992499999701977,25.887499999422577,0.3250000001862645,15.53776,19.485742400000003,133.0,69.4557,85.1272,85.1272
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,6400,93.0,3002.755,30.971557786110523,30.726686126971558,27.22199537132219,27.79611549226983,32.28768817203179,32.544999999925494,1.4880771733131515,34.55699999891221,35.87480000078678,36.7350000012666,1.0,0.17204301075268819,3.1799999997019768,4.120200000405311,28.925000000745058,32.223000000193714,0.3200000002980232,22.425960000000003,25.005960400000006,92.0,159.0259,171.5468,171.5468
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,9051,71.0,3014.495,23.552867063975658,23.778385447796612,18.70557426146872,19.49761154279374,42.457676056326484,42.05499999970198,3.136803973065943,46.950000000186265,52.89999999981373,53.459999999031425,1.0,1.0,3.5600000005215406,7.565499999374151,38.100000001490116,46.059499999880785,0.34999999962747097,33.233360000000005,41.17915400000001,70.0,217.4599,231.1612,231.1612
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,12800,61.0,3770.86,16.176681181483705,16.791201410544943,13.644426252042559,14.122631516956469,61.81737704917056,59.55499999970198,3.6701565142317705,68.89500000141561,71.25599999986588,73.28999999910593,1.0,1.0,4.849999999627471,8.166000000387427,53.99500000104308,62.36199999973178,0.39000000059604645,48.87726,52.1501592,60.0,398.1419,411.8797,401.2646
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,18102,61.0,5493.675,11.10367832097671,11.160714285528675,8.476372112628686,8.712825278755734,90.06024590165156,89.60000000149012,7.700007003707677,108.79999999888241,117.4620000012219,117.97500000149012,1.0,1.0,6.185000000521541,12.138000000640746,78.4199999999255,99.4039999999106,0.4150000009685755,69.26276,80.57791519999999,60.0,651.7868,676.0842,662.7439
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,100,2773.0,3000.12,924.2963614785529,947.8672988459588,346.86536484334016,570.7550096508049,1.0819040750093916,1.0549999997019768,0.25990032115532485,1.3669999998062854,1.7878000000864287,5.075000001117587,0.0,0.0,0.0800000000745058,0.1699999999254942,0.6099999994039536,0.9164000006765137,0.34999999962747097,0.05056,0.9176567999999988,2768.0,7.6935,14.9635,14.9635
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,141,2193.0,3000.405,730.9013283203864,743.494423421151,398.481973482421,510.34741083723264,1.3681737346106666,1.3450000006705523,0.22924872419783413,1.727000000327826,2.045399999842047,4.064999999478459,0.0,0.0,0.11500000022351742,0.2149999998509884,0.8450000006705523,1.219999998807907,0.3650000002235174,0.07184,1.2167180000000073,2186.0,14.5745,19.4399,19.4399
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,200,1738.0,3000.37,579.2618910332378,584.795321331668,326.79738561202197,423.7914552094412,1.7263348676645818,1.7100000008940697,0.261461233190825,2.100749999471008,2.3531500001437955,4.429999999701977,0.0,0.0,0.15000000037252903,0.2531499993428582,1.184999999590218,1.6531499990262086,0.35500000044703484,0.09776,0.8917720000000006,1731.0,18.9769,24.3795,22.7733
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,283,1482.0,3001.875,493.6914428482199,500.0,268.8946509005768,351.0353170027204,2.025556680161943,2.0,0.3388242427777714,2.5197499996051196,3.0566500004194697,4.985000001266599,0.0,0.0,0.1900000013411045,0.3049999997019768,1.4299999997019768,2.0099999997764826,0.34999999962747097,0.1828,1.12302,1476.0,18.9455,24.448,12.4985
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,400,987.0,3002.04,328.7764320261161,334.4481605101154,194.93177387945687,243.9874520738028,3.041580547113443,2.9900000002235174,0.435562556621558,3.7299999998882414,4.129900000020861,7.58500000089407,0.0,0.0,0.2850000001490116,0.43500000052154064,2.3650000002235174,3.1370999998599287,0.3300000000745058,0.1656,2.2981127999999993,983.0,22.7542,26.6093,24.0367
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,566,790.0,3001.84,263.1719212216638,269.17900404848206,167.3440114821715,198.45308365982095,3.799797468354242,3.7149999998509884,0.46356462786620223,4.60774999987334,5.146099999733269,7.994999999180436,0.0,0.0,0.34500000067055225,0.5655499995686114,3.0600000005215406,4.344999999012798,0.2999999988824129,0.15632,1.9548272000000002,789.0,23.6248,34.7833,34.7833
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,800,632.0,3000.53,210.6294554629153,213.78941741362146,136.0235774219242,159.072249588822,4.747674050631851,4.677500000223517,0.5283605460742183,5.6117499996908,6.5122500000149,9.785000000149012,0.0,0.0,0.3849999997764826,0.6103500000387422,4.0,5.64745000014081,0.2649999987334013,0.36996,1.2591520000000043,631.0,36.3792,37.1212,34.332
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,1131,476.0,3002.35,158.54247506122172,162.66775109468298,93.54536950469853,117.5478496381481,6.307457983192495,6.14750000089407,0.7516706644313448,7.487500000279397,8.87624999973923,12.025000000372529,0.0,0.0,0.6050000004470348,0.9550000000745058,5.267500000074506,7.53249999973923,0.26999999955296516,2.08804,3.6267535999999994,475.0,43.8283,47.8519,30.8001
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,1600,353.0,3005.855,117.43746787525221,120.2645820881206,84.42380751336485,91.82240466736687,8.515169971667378,8.31499999947846,0.8364672903431128,10.245999999716878,11.33819999985397,12.285000000149012,0.0,0.0,0.6999999992549419,1.122399999573827,7.349999999627471,10.140199999138716,0.25500000081956387,3.87724,5.538740800000001,352.0,34.7875,58.7825,58.7825
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,2263,269.0,3009.745,89.37634251409115,90.6618313745053,65.33812479311476,70.3291947304652,11.188643122673533,11.029999999329448,1.1032417965784487,13.387000000104308,14.828199998810886,15.675000000745058,0.0,0.0,0.9050000011920929,1.4712000009417532,9.790000000968575,13.166399998962877,0.2599999997764826,6.4242799999999995,8.685539199999997,268.0,39.8357,63.106,31.9627
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,3200,184.0,3000.0,61.333333333333336,62.607606823645064,43.84042086703794,49.940349027075555,16.304347826086957,15.972500000149012,1.2759590238052603,18.972999999858438,21.050950000919396,22.81000000052154,0.29891304347826086,0.0,1.3274999996647239,2.290199999418109,14.25,18.697600000333026,0.2575000002980232,10.64392,13.02772880000001,183.0,74.6654,81.5191,81.5191
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,4525,133.0,3007.145,44.22799698718212,44.89337822596076,22.024006166143494,31.65642229664855,22.610112781951525,22.27500000037253,2.7814586636737797,25.969999998435377,32.66719999924307,45.40500000119209,1.0,0.015037593984962405,1.5649999994784594,3.0457999999076133,20.359999999403954,30.50180000007157,0.3050000015646219,15.54394,21.3451608,132.0,110.5242,113.669,71.9769
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,6400,93.0,3008.5,30.912414824663454,30.897574540185197,26.072220050499496,26.476915439481893,32.3494623655914,32.36500000022352,2.084756197481382,36.301999999210224,37.79839999988675,38.35499999858439,1.0,0.24731182795698925,2.4149999991059303,4.573200000226498,29.56499999947846,34.87800000101328,0.31499999947845936,22.78568,26.472150800000023,92.0,106.4469,127.8095,108.0511
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,9051,66.0,3043.2,21.687697160875317,22.00462097071043,16.95633743122199,17.639795378535894,46.10909090910784,45.4449999993667,3.9920174107578363,52.75125000067055,58.285999999288464,58.97499999962747,1.0,1.0,3.139999999664724,6.308500001486391,41.625,54.17299999929964,0.3300000000745058,33.14884,45.41764,65.0,97.5655,118.339,87.0674
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,12800,61.0,3847.73,15.853503234372711,16.126431220828973,13.48890537536946,13.899506567459277,63.077540983613886,62.00999999977648,2.792947460793166,68.66499999910593,72.95,74.13499999977648,1.0,1.0,4.0849999990314245,6.6159999996423675,57.44500000029802,65.72799999974667,0.3650000002235174,48.304860000000005,51.75811159999999,60.0,201.463,216.0797,214.2479
amd-ryzen-5 · chrome|s5|007_threejs_i1,amd-ryzen-5 · chrome,threejs,18102,61.0,5305.84,11.496765827842852,11.784809380646182,8.330556481105726,8.879943168367639,86.98098360655493,84.85500000044703,6.698284532877358,93.90999999828637,119.48500000052154,120.04000000096858,1.0,1.0,5.1900000013411045,8.692000000551335,78.98999999836087,109.50799999982118,0.35500000044703484,69.80514,86.59491999999992,60.0,186.3118,209.7732,187.0548
amd-ryzen-5 · chrome|s5|008_r3f-ref-central_i1,amd-ryzen-5 · chrome,r3f-ref-central,100,2726.0,3000.11,908.6333501106765,921.6589869978768,432.4151184915863,607.386896510414,1.1005539251648584,1.0849999990314245,0.23386592534167913,1.3799999989569187,1.6787499994970858,7.779999999329448,0.0,0.0,0.0949999988079071,0.1837499993853271,0.6100000012665987,0.9049999993294477,0.3650000002235174,0.0648,1.1158112000000058,2719.0,11.0894,17.0818,15.1935
amd-ryzen-5 · chrome|s5|008_r3f-ref-central_i1,amd-ryzen-5 · chrome,r3f-ref-central,141,2315.0,3000.015,771.6628083524716,778.2101166412745,509.35666050460196,579.1991941717703,1.2959028077756354,1.2850000001490116,0.1836443981215966,1.5949999993667006,1.7743000002577907,3.1399999987334013,0.0,0.0,0.10500000044703484,0.1900000013411045,0.8000000007450581,1.1200000010430813,0.3600000012665987,0.08848,1.3911403999999996,2310.0,17.863,22.4975,18.8906
amd-ryzen-5 · chrome|s5|008_r3f-ref-central_i1,amd-ryzen-5 · chrome,r3f-ref-central,200,1865.0,3000.425,621.5786096968053,625.0000001455192,430.9828804345421,478.59201317799926,1.608806970509783,1.599999999627471,0.2175769072540857,1.950000001117587,2.1649999991059303,2.8399999998509884,0.0,0.0,0.13500000163912773,0.22000000067055225,1.094999998807907,1.5136000008881083,0.34999999962747097,0.13776,1.1297532000000001,1860.0,14.3091,24.0909,24.0909
amd-ryzen-5 · chrome|s5|008_r3f-ref-central_i1,amd-ryzen-5 · chrome,r3f-ref-central,283,1402.0,3000.24,467.29594965732593,468.38407499048805,293.68575627570755,354.4393529165379,2.1399714693296885,2.1349999997764826,0.3163883206870128,2.6050000003539027,2.7948499999381604,6.589999999850988,0.0,0.0,0.2000000011175871,0.30000000074505806,1.5549999997019768,2.1049500004388393,0.35999999940395355,0.18944,1.4957359999999944,1397.0,25.6473,28.0469,19.6279
